	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP697,0.0216083066062476,-0.00098295757493716,0.0334083673744374,0.0039117412659568,0.0024253056633094,0.0214160872695472,0.0451850268096547,0.0540115611018621,0.0709805065869716,0.0473794566367697,0.0710885344798353,0.0153598723526084
bSNP699,-0.0089767857488818,0.0029829491914848,-0.0333125635607056,0.0085072070727558,-0.0213628336968159,0.009091799662367,0.0299643656764148,0.0588653165515514,0.0339417346258593,0.0518639252358723,0.0068023902920351,0.0198293096699821
bSNP702,-0.0171233204317677,0.0326419441471819,-0.0215032804239063,0.0300884129656573,-0.0456301198060533,0.0259997507694543,-0.0198007787911684,0.0604337372371436,-0.0178383413536551,0.0682867436295494,-0.0031453941541654,-0.0128153309323959
bSNP710,0.191482552506436,0.18946669023377,0.212216526178348,0.186553331720968,0.18323817326032,0.0356849506976942,0.165558666798965,0.157237835849554,0.152805264271441,0.154776757334055,0.158150277634208,-0.0484286510376685
bSNP711,0.100208876382723,0.0159296552747646,0.0622461684229523,0.022364111154619,0.0340891908792122,0.0170361722695183,0.0945022572279934,0.0697934577706198,0.0847924349423544,0.0525156298033161,0.0842776235292959,-0.0189277810783101
bSNP714,0.0699100113523589,0.0674160021475096,0.0759848230497737,0.0589329927737314,0.0524572161117677,0.025577797693408,0.0888779003014619,0.100264709427641,0.103017068482703,0.0434749603920364,0.0831752851147044,0.0685832304173107
bSNP715,0.132131953111287,0.0743560913993756,0.0604842982916192,0.0343677360727917,0.0184489770626915,0.0345814613196104,0.1483770855783,0.0516489820653698,0.0243409291989745,0.0466775702901652,0.0242097557296171,0.0054425575037433
bSNP722,0.0488101039611313,0.0383124370105294,0.0557645355218583,0.0205374158164525,0.0333511292697707,0.0240975410519984,0.0877857792647349,0.0489069711584704,0.0770482703876838,0.0611458260588603,0.0664139937364972,0.00094887993364523
bSNP737,0.137294634493194,0.158860247643503,0.154606931408676,0.157970818667722,0.110922847486381,0.000630518743697461,0.144729229255752,0.166749079997281,0.140312159924381,0.16497339482003,0.124590265518708,-0.02132148266364
bSNP738,0.0717142273003514,0.0567640320743504,0.011847424134168,0.0651493818912687,0.0235715396512551,0.0227753749508274,0.0651669745381362,0.051381470754106,0.0119674073891757,0.0243579271218165,0.0093155263289328,0.0154840613681769
bSNP739,0.925573915886972,0.0791743856389306,0.060912078601816,0.0771244181478686,0.0298900041153752,0.0212545633883259,0.869163538827061,0.0416545349891811,0.0205233031222374,0.0560662132119738,0.0334447291242324,-0.0092794769092665
bSNP740,0.908347773842374,0.5100324283047,0.412117174540568,0.301391662676753,0.0428584705320604,0.0298873762119005,0.863632927649599,0.875570437756802,0.853832586648655,0.34396244206871,0.103505381741881,0.0109742340326242
