adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
bSNP1795	13	9	30	25	44	43	36	144
bSNP1796	13	49	17	96	44	43	37	929
bSNP1797	36	9	17	25	11	24	13	73
bSNP1800	88	19	23	26	44	103	36	372
bSNP1801	21	27	5	4	5	35	6	69
bSNP1802	13	19	30	82	14	39	36	491
bSNP1803	53	47	845?	29	28	40	13	Unknown
bSNP1807	36	9	17	25	11	24	13	73
bSNP1809	14	10	17	10	11	14	14	537
bSNP1810	6	32	9	2	8	65	26	297
bSNP1812	83	110	80	2	1	136	117	543
bSNP1813	13	9	16	9	10	13	13	12
bSNP1814	13	13	17	15	14	21	22	28
bSNP1815	6	4	24	14	8	4	16	58
bSNP1817	6	33	11	6	8	4	16	224
bSNP1819	13	9	16	9	10	13	13	12
bSNP1820	13	84	17	34	68	38	13	420
bSNP1822	83	362	311	181	16	481	404	3752
bSNP1828	13	34	23	30	28	40	13	91
bSNP1829	4	2	5	19	5	26	25	38
bSNP1833	14	10	17	10	7	14	200	1193
bSNP1834	36	9	17	25	11	24	13	73
bSNP1835	36	9	17	25	11	24	13	73
bSNP1837	36	9	17	25	11	24	13	73
bSNP1838	37	19	17	26	8	38	37	421
bSNP1840	37	19	17	26	8	38	37	421
bSNP1841	37	286	17	26	11	38	37	2619
bSNP1842	36	9	17	25	11	24	13	73
bSNP1843	6	5	24	6	18	23	16	1249
bSNP1844	88	19	23	26	44	103	36	372
bSNP1847	13	19	23	10	11	43	14	1946
bSNP1848	13	19	30	29	25	38	13	83
bSNP1852	36	9	17	25	11	24	13	73
bSNP1854	36	9	17	25	11	24	13	73
bSNP1855	21	27	5	4	5	35	6	69
bSNP1856	14	10	17	10	7	14	200	1193
bSNP1857	14	10	17	74	7	14	14	404
bSNP1858	36	9	17	25	11	24	13	73
bSNP1859	36	9	17	25	11	24	13	73
bSNP1863	36	9	17	25	11	24?	13	73?
bSNP1864	18	10	17	17	25	52	13	1159
bSNP1867	10	57	7	6	18	11	8	216
bSNP1869	36	9	17	25	11	24	13	73
bSNP1870	76	190	17	25	30	13	13	3672
bSNP1875	10	4	8	2	8	11	8	10
bSNP1877	6	5	9	201?	13	6	16	Unknown
bSNP1878	13	9	16	9	10	13	13	12
bSNP1879	28	25	7	24	11	33	29	62
bSNP1880	36	9	17	25	11	24	13	73
bSNP1881	36	9	17	25	11	24	13	73
bSNP1973	53	47	36	29	28	40	13	131
bSNP1974	8	1	8	6	8	7	8	46
bSNP1975	21	20	5	4	91	22	6	549
bSNP1976	13	9	16	9	10	13	13	12
bSNP1977	53	47	36	29	28	40	13	131
bSNP1978	53	47	36	29	28	40	13	131
bSNP1979	53	47	36	29	28	40	13	131
bSNP1980	53	47	36	29	28	40	13	131
bSNP1981	53	47	36	29	28	40	13	131
bSNP1982	53	47	36	29	28	40	13	131
bSNP1983	53	47	36	29	28	40	13	131
bSNP1984	6	32	9	6	8	4	1	6448
bSNP1985	53	47	36	29	28	40	13	131
bSNP1986	53	47	36	29	28	40	13	131
bSNP1987	6	519	180	433	16	2	627	7427
bSNP1988	53	47	36	29	28	40	13	131
bSNP1989	35	29	4	73	5	37	25	405
bSNP1992	46	13	7	22	8	4	128	618
bSNP1993	53	47	36	29	28	40	13	131
bSNP1995	36	9	17	25	11	24	13	73
bSNP1996	4	2	5	19	5	26	25	38
bSNP1997	6	14	20	7	62	4	1	345
bSNP1998	64	5	693	335	8	11	8	8149
bSNP1999	53	47	36	29	28	40	13	131
bSNP2000	13	9	16	9	10	13	13	12
bSNP2001	53	47	36	29	28	40	13	131
bSNP2002	53	47	36	29	28	40	13	131
bSNP2003	13	19	23	10	1	24	14	80
bSNP2004	21	27	5	4	5	35	6	69
bSNP2005	8	1	8	6	18	7	8	1139
bSNP2006	10	4	8	7	8	11	8	44
bSNP2007	53	47	36	29	28	40	13	131
bSNP2008	53	47	36	29	28	40	13	131
bSNP2009	53	47	36	29	28	40	13	131
bSNP2010	92	87	70	91	58	4	96	624
bSNP2011	53	47	36	29	28	40	13	131
bSNP2012	53	47	36	29	28	40	13	131
bSNP2013	53	47	36	29	28	40	13	131
